t   h   p
0.000000   0.000000   0.000000 
0.065000   0.000000   0.000000 
0.130000   0.000000   0.000000 
0.195000   0.000000   0.000000 
0.260000   0.000000   0.000000 
0.325000   0.000000   0.000000 
0.390000   0.000000   0.000000 
0.455000   0.000000   0.000000 
0.520000   0.000000   0.000000 
0.585000   0.000000   0.000000 
0.650000   0.000000   0.000000 
0.715000   0.000000   -0.008343 
0.780000   0.000000   -0.008343 
0.845000   0.000000   -0.008343 
0.910000   0.000000   -0.008273 
0.975000   0.000000   -0.008325 
1.040000   0.000000   -0.008203 
1.105000   0.000000   -0.008255 
1.170000   0.000000   -0.008255 
1.235000   0.000000   -0.008255 
1.300000   0.000000   -0.008168 
1.365000   0.000000   -0.000052 
1.430000   0.000000   -0.000384 
1.495000   0.000000   -0.000576 
1.560000   0.000000   -0.000681 
1.625000   0.000000   -0.000908 
1.690000   0.000000   -0.001239 
1.755000   0.000000   -0.001553 
1.820000   0.000000   -0.001641 
1.885000   0.000000   -0.001902 
1.950000   0.000000   -0.002182 
2.015000   0.000000   -0.002356 
2.080000   0.000000   -0.002583 
2.145000   0.000000   -0.002793 
2.210000   0.000000   -0.002932 
2.275000   0.000000   -0.002897 
2.340000   0.000000   -0.002932 
2.405000   0.000000   -0.003002 
2.470000   0.000000   -0.003089 
2.535000   0.000000   -0.003264 
2.600000   0.000000   -0.003211 
2.665000   0.000000   -0.003264 
2.730000   0.000000   -0.003456 
2.795000   0.000000   -0.003560 
2.860000   0.000000   -0.003508 
2.925000   0.000000   -0.003386 
2.990000   0.000000   -0.003456 
3.055000   0.000000   -0.003473 
3.120000   0.000000   -0.003473 
3.185000   0.000000   -0.003438 
3.250000   0.000000   -0.003386 
3.315000   0.000000   -0.003560 
3.380000   0.000000   -0.003386 
3.445000   0.000000   -0.003438 
3.510000   0.000000   -0.003683 
3.575000   0.000000   -0.003421 
3.640000   0.000000   -0.003473 
3.705000   0.000000   -0.003351 
3.770000   0.000000   -0.003421 
3.835000   0.000000   -0.003281 
3.900000   0.000000   -0.003473 
3.965000   0.000000   -0.003281 
4.030000   0.000000   -0.003665 
4.095000   0.000000   -0.003526 
4.160000   0.000000   -0.003822 
4.225000   0.000000   -0.003857 
4.290000   0.000000   -0.003718 
4.355000   0.000000   -0.003840 
4.420000   0.000000   -0.003805 
4.485000   0.000000   -0.004049 
4.550000   0.000000   -0.003665 
4.615000   0.000000   -0.003368 
4.680000   0.000000   -0.003002 
4.745000   0.000000   -0.002653 
4.810000   0.000000   -0.003176 
4.875000   0.000000   -0.003508 
4.940000   0.000000   -0.004119 
5.005000   0.000000   -0.003787 
5.070000   0.000000   -0.005393 
5.135000   0.000000   -0.004259 
5.200000   0.000000   -0.001955 
5.265000   0.000000   -0.000908 
5.330000   0.000000   0.000750 
5.395000   0.000000   -0.005829 
5.460000   0.000000   -0.013352 
5.525000   0.000000   -0.013998 
5.590000   0.000000   -0.012741 
5.655000   0.000000   -0.010996 
5.720000   0.000000   -0.010263 
5.785000   0.000000   0.000663 
5.850000   0.000000   0.012828 
5.915000   0.000000   0.023265 
5.980000   0.276000   0.028746 
6.045000   0.314000   0.032498 
6.110000   0.365000   0.034313 
6.175000   0.412000   0.032411 
6.240000   0.455000   0.028711 
6.305000   0.493000   0.024103 
6.370000   0.493000   0.020333 
6.435000   0.550000   0.017750 
6.500000   0.570000   0.015202 
6.565000   0.587000   0.010105 
6.630000   0.587000   0.010105 
6.695000   0.597000   0.006056 
6.760000   0.607000   0.003072 
6.825000   0.618000   0.003281 
6.890000   0.626000   0.001117 
6.955000   0.636000   0.000175 
7.020000   0.646000   0.001292 
7.085000   0.659000   0.003037 
7.150000   0.669000   0.003543 
7.215000   0.680000   0.004032 
7.280000   0.690000   0.005463 
7.345000   0.702000   0.007941 
7.410000   0.717000   0.007156 
7.475000   0.730000   0.008029 
7.540000   0.743000   0.008482 
7.605000   0.757000   0.010088 
7.670000   0.757000   0.011345 
7.735000   0.786000   0.010367 
7.800000   0.801000   0.009093 
7.865000   0.815000   0.006702 
7.930000   0.830000   0.005725 
7.995000   0.842000   0.003962 
8.060000   0.852000   0.002042 
8.125000   0.862000   -0.000803 
8.190000   0.872000   -0.002374 
8.255000   0.880000   -0.003787 
8.320000   0.888000   -0.003787 
8.385000   0.896000   -0.003473 
8.450000   0.903000   -0.004136 
8.515000   0.910000   -0.004625 
8.580000   0.915000   -0.005358 
8.645000   0.920000   -0.005131 
8.710000   0.928000   -0.004241 
8.775000   0.934000   -0.003962 
8.840000   0.939000   -0.004503 
8.905000   0.942000   -0.003944 
8.970000   0.947000   -0.001344 
9.035000   0.953000   0.000070 
9.100000   0.956000   0.000297 
9.165000   0.960000   0.001344 
9.230000   0.965000   0.001885 
9.295000   0.970000   0.002182 
9.360000   0.975000   0.000890 
9.425000   0.977000   0.001902 
9.490000   0.978000   0.003002 
9.555000   0.980000   0.003089 
9.620000   0.982000   0.003264 
9.685000   0.985000   0.002967 
9.750000   0.984000   0.003299 
9.815000   0.986000   0.004171 
9.880000   0.987000   0.004049 
9.945000   0.988000   0.003578 
10.010000   0.989000   0.003299 
10.075000   0.988000   0.003159 
10.140000   0.988000   0.003386 
10.205000   0.991000   0.003648 
10.270000   0.992000   0.003526 
10.335000   0.991000   0.003630 
10.400000   0.988000   0.004974 
10.465000   0.987000   0.005690 
10.530000   0.987000   0.006597 
10.595000   0.988000   0.008046 
10.660000   0.987000   0.009076 
10.725000   0.986000   0.008901 
10.790000   0.985000   0.008325 
10.855000   0.985000   0.007732 
10.920000   0.986000   0.007662 
10.985000   0.984000   0.008639 
11.050000   0.983000   0.007330 
11.115000   0.982000   0.006074 
11.180000   0.983000   0.005306 
11.245000   0.984000   0.003979 
11.310000   0.984000   0.001414 
11.375000   0.984000   0.000855 
11.440000   0.987000   0.002164 
11.505000   0.987000   0.002775 
11.570000   0.987000   0.003089 
11.635000   0.986000   0.004067 
11.700000   0.987000   0.003473 
11.765000   0.987000   0.003159 
11.830000   0.987000   0.000593 
11.895000   0.986000   0.001571 
11.960000   0.987000   0.002461 
12.025000   0.991000   0.003822 
12.090000   0.991000   0.005637 
12.155000   0.992000   0.005288 
12.220000   0.993000   0.006109 
12.285000   0.996000   0.006161 
12.350000   0.995000   0.006266 
12.415000   0.995000   0.006458 
12.480000   0.998000   0.006178 
12.545000   1.000000   0.005725 
12.610000   1.000000   0.005166 
12.675000   1.001000   0.003438 
12.740000   1.000000   0.003386 
12.805000   1.001000   0.003840 
12.870000   1.003000   0.003246 
12.935000   1.003000   0.002670 
13.000000   1.005000   0.001012 
13.065000   1.006000   0.000332 
13.130000   1.006000   0.001868 
13.195000   1.008000   0.002950 
13.260000   1.009000   0.002967 
13.325000   1.010000   0.002182 
13.390000   1.014000   0.000157 
13.455000   1.014000   -0.002426 
13.520000   1.018000   -0.004957 
13.585000   1.018000   -0.005899 
13.650000   1.015000   -0.003281 
13.715000   1.014000   -0.002112 
13.780000   1.013000   0.000559 
13.845000   1.014000   0.000157 
13.910000   1.015000   0.001030 
13.975000   1.016000   0.000401 
14.040000   1.014000   -0.000716 
14.105000   1.011000   -0.000750 
14.170000   1.008000   0.000559 
14.235000   1.008000   0.000052 
14.300000   1.011000   0.006981 
14.365000   1.011000   0.025482 
14.430000   1.010000   0.045693 
14.495000   1.011000   0.061959 
14.560000   1.016000   0.073705 
14.625000   1.016000   0.080372 
14.690000   1.015000   0.082100 
14.755000   1.013000   0.082764 
14.820000   1.009000   0.082659 
14.885000   1.007000   0.081873 
14.950000   1.003000   0.080303 
15.015000   1.005000   0.077807 
15.080000   1.006000   0.076602 
15.145000   1.004000   0.074072 
15.210000   1.005000   0.072571 
15.275000   1.006000   0.070110 
15.340000   1.007000   0.069028 
15.405000   1.011000   0.066514 
15.470000   1.014000   0.063582 
15.535000   1.014000   0.061680 
